BINHO;1000 YATIRIMLAR HOLDİNG A.Ş.
MRSHL;MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.
MRGYO;MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
MARTI;MARTI OTEL İŞLETMELERİ A.Ş.
MTRKS;MATRİKS FİNANSAL TEKNOLOJİLER A.Ş.
MAVI;MAVİ GİYİM SANAYİ VE TİCARET A.Ş.
MZHLD;MAZHAR ZORLU HOLDİNG A.Ş.
MEDTR;MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.
MEGMT;MEGA METAL SANAYİ VE TİCARET A.Ş.
MEKAG;MEKA GLOBAL MAKİNE İMALAT SANAYİ VE TİCARET A.Ş.
MNDRS;MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.
MEPET;MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.
MERCN;MERCAN KİMYA SANAYİ VE TİCARET A.Ş.
MERIT;MERİT TURİZM YATIRIM VE İŞLETME A.Ş.
MERKO;MERKO GIDA SANAYİ VE TİCARET A.Ş.
METUR;METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.
METRO;METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.
MHRGY;MHR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
MIATK;MİA TEKNOLOJİ A.Ş.
MGROS;MİGROS TİCARET A.Ş.
MSGYO;MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
MPARK;MLP SAĞLIK HİZMETLERİ A.Ş.
MOBTL;MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.
MOGAN;MOGAN ENERJİ YATIRIM HOLDİNG A.Ş.
MNDTR;MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.
MOPAS;MOPAŞ MARKETÇİLİK GIDA SANAYİ VE TİCARET A.Ş.
EGEPO;NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.
NTGAZ;NATURELGAZ SANAYİ VE TİCARET A.Ş.
NATEN;NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.
NETAS;NETAŞ TELEKOMÜNİKASYON A.Ş.
NTHOL;NET HOLDİNG A.Ş.
NIBAS;NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.
NUHCM;NUH ÇİMENTO SANAYİ A.Ş.
NUGYO;NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
OBAMS;OBA MAKARNACILIK SANAYİ VE TİCARET A.Ş.
OBASE;OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.
ODAS;ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.
ODINE;ODİNE SOLUTİONS TEKNOLOJİ TİCARET VE SANAYİ A.Ş.
OFSYM;OFİS YEM GIDA SANAYİ TİCARET A.Ş.
ONCSM;ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.
ONRYT;ONUR YÜKSEK TEKNOLOJİ A.Ş.
ORCAY;ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.
ORGE;ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.
ORMA;ORMA ORMAN MAHSÜLLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.
OSMEN;OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.
OSTIM;OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.
OTKAR;OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.
OTTO;OTTO HOLDİNG A.Ş.
OYAKC;OYAK ÇİMENTO FABRİKALARI A.Ş.
OYYAT;OYAK YATIRIM MENKUL DEĞERLER A.Ş.
OYLUM;OYLUM SINAİ YATIRIMLAR A.Ş.
OZKGY;ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
OZATD;ÖZATA DENİZCİLİK SANAYİ VE TİCARET A.Ş.
OZGYO;ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
OZRDN;ÖZERDEN AMBALAJ SANAYİ A.Ş.
OZSUB;ÖZSU BALIK ÜRETİM A.Ş.
OZYSR;ÖZYAŞAR TEL VE GALVANİZLEME SANAYİ A.Ş.
PAMEL;PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.
PNLSN;PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
PAGYO;PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PAPIL;PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.
PRDGS;PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
PRKME;PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.
PARSN;PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
PASEU;PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.
PSGYO;PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PATEK;PASİFİK TEKNOLOJİ A.Ş.
PCILT;PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.
PGSUS;PEGASUS HAVA TAŞIMACILIĞI A.Ş.
PEKGY;PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
PENGD;PENGUEN GIDA SANAYİ A.Ş.
PENTA;PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.
PEHOL;PERA YATIRIM HOLDİNG A.Ş.
PSDTC;PERGAMON STATUS DIŞ TİCARET A.Ş.
PETKM;PETKİM PETROKİMYA HOLDİNG A.Ş.
PKENT;PETROKENT TURİZM A.Ş.
PETUN;PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.
PINSU;PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.
PNSUT;PINAR SÜT MAMÜLLERİ SANAYİİ A.Ş.
PKART;PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
PLTUR;PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.
POLHO;POLİSAN HOLDİNG A.Ş.
POLTK;POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.
PRZMA;PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.
QNBTR;QNB BANK A.Ş.
QNBFK;QNB FİNANSAL KİRALAMA A.Ş.
QUAGR;QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.
RNPOL;RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.
RALYH;RAL YATIRIM HOLDİNG A.Ş.
RAYSG;RAY SİGORTA A.Ş.
REEDR;REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.
RYGYO;REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
RYSAS;REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.
RODRG;RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.
RGYAS;RÖNESANS GAYRİMENKUL YATIRIM A.Ş.
RTALB;RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.
RUBNS;RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.
RUZYE;RUZY MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.
SAFKR;SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.
SANEL;SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.
SNICA;SANİCA ISI SANAYİ A.Ş.
SANFM;SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
SANKO;SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.
SAMAT;SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.
SARKY;SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.
SASA;SASA POLYESTER SANAYİ A.Ş.
SAYAS;SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.
SDTTR;SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.
SEGMN;SEĞMEN KARDEŞLER GIDA ÜRETİM VE AMBALAJ SANAYİ A.Ş.
SEKUR;SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.
SELEC;SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.
SELGD;SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.
SELVA;SELVA GIDA SANAYİ A.Ş.
SERNT;SERANİT GRANİT SERAMİK SANAYİ VE TİCARET A.Ş.
SRVGY;SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SEYKM;SEYİTLER KİMYA SANAYİ A.Ş.
SILVR;SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.
SNGYO;SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SKYLP;SKYALP FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.
SMRTG;SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.
SMART;SMARTİKS YAZILIM A.Ş.
SODSN;SODAŞ SODYUM SANAYİİ A.Ş.
SOKE;SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.
SKTAS;SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
SONME;SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.
SNPAM;SÖNMEZ PAMUKLU SANAYİİ A.Ş.
SUMAS;SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİİ A.Ş.
SUNTK;SUN TEKSTİL SANAYİ VE TİCARET A.Ş.
SURGY;SUR TATİL EVLERİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SUWEN;SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.
SMRVA;SÜMER VARLIK YÖNETİM A.Ş.
SKBNK;ŞEKERBANK T.A.Ş.
SEKFK;ŞEKER FİNANSAL KİRALAMA A.Ş.
SEGYO;ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
SKYMD;ŞEKER YATIRIM MENKUL DEĞERLER A.Ş.
SOKM;ŞOK MARKETLER TİCARET A.Ş.
TABGD;TAB GIDA SANAYİ VE TİCARET A.Ş.
TNZTP;TAPDİ OKSİJEN ÖZEL SAĞLIK VE EĞİTİM HİZMETLERİ SANAYİ TİCARET A.Ş.
TARKM;TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.
TATGD;TAT GIDA SANAYİ A.Ş.
TATEN;TATLIPINAR ENERJİ ÜRETİM A.Ş.
TAVHL;TAV HAVALİMANLARI HOLDİNG A.Ş.
TEKTU;TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.
TKFEN;TEKFEN HOLDİNG A.Ş.
TKNSA;TEKNOSA İÇ VE DIŞ TİCARET A.Ş.
TMPOL;TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.
TERA;TERA YATIRIM MENKUL DEĞERLER A.Ş.
TGSAS;TGS DIŞ TİCARET A.Ş.
TOASO;TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
TRGYO;TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TLMAN;TRABZON LİMAN İŞLETMECİLİĞİ A.Ş.
TSPOR;TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.
TDGYO;TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TSGYO;TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
TUCLK;TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.
TUKAS;TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.
TRCAS;TURCAS PETROL A.Ş.
TUREX;TUREKS TURİZM TAŞIMACILIK A.Ş.
MARBL;TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.
TCELL;TURKCELL İLETİŞİM HİZMETLERİ A.Ş.
TRILC;TURK İLAÇ VE SERUM SANAYİ A.Ş.
TMSN;TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.
TUPRS;TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
TURGG;TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.
THYAO;TÜRK HAVA YOLLARI A.O.
GARAN;TÜRKİYE GARANTİ BANKASI A.Ş.
HALKB;TÜRKİYE HALK BANKASI A.Ş.
ISATR;TÜRKİYE İŞ BANKASI A.Ş.
ISBTR;TÜRKİYE İŞ BANKASI A.Ş.
ISCTR;TÜRKİYE İŞ BANKASI A.Ş.
KLNMA;TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.
TSKB;TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.
TURSG;TÜRKİYE SİGORTA A.Ş.
SISE;TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.
VAKBN;TÜRKİYE VAKIFLAR BANKASI T.A.O.
PRKAB;TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.
TTKOM;TÜRK TELEKOMÜNİKASYON A.Ş.
TTRAK;TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.
TBORG;TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.
UFUK;UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.
ULAS;ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.
ULUFA;ULUSAL FAKTORİNG A.Ş.
ULUSE;ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.
ULUUN;ULUSOY UN SANAYİ VE TİCARET A.Ş.
USAK;UŞAK SERAMİK SANAYİ A.Ş.
ULKER;ÜLKER BİSKÜVİ SANAYİ A.Ş.
UNLU;ÜNLÜ YATIRIM HOLDİNG A.Ş.
VAKFN;VAKIF FİNANSAL KİRALAMA A.Ş.
VKGYO;VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
VAKKO;VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.
VANGD;VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.
VBTYZ;VBT YAZILIM A.Ş.
VRGYO;VERA KONSEPT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
VERUS;VERUSA HOLDİNG A.Ş.
VERTU;VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
VESBE;VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.
VESTL;VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
VKING;VİKİNG KAĞIT VE SELÜLOZ A.Ş.
VSNMD;VİŞNE MADENCİLİK ÜRETİM SANAYİ VE TİCARET A.Ş.
YKBNK;YAPI VE KREDİ BANKASI A.Ş.
YAPRK;YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.
YATAS;YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.
YYLGD;YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.
YAYLA;YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.
YGGYO;YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
YEOTK;YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.
YYAPI;YEŞİL YAPI ENDÜSTRİSİ A.Ş.
YESIL;YEŞİL YATIRIM HOLDİNG A.Ş.
YBTAS;YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.
YIGIT;YİĞİT AKÜ MALZEMELERİ NAKLİYAT TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.
YONGA;YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.
YKSLN;YÜKSELEN ÇELİK A.Ş.
YUNSA;YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.
ZEDUR;ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.
ZRGYO;ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ZOREN;ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.
